geometry,zone_id
"POLYGON ((7.646213731708019 45.06964175089718, 7.652574104878821 45.06964175089718, 7.652574104878821 45.06514514907855, 7.646213731708019 45.06514514907855, 7.646213731708019 45.06964175089718))",437
"POLYGON ((7.646213731708019 45.05615194544131, 7.652574104878821 45.05615194544131, 7.652574104878821 45.05165534362268, 7.646213731708019 45.05165534362268, 7.646213731708019 45.05615194544131))",440
"POLYGON ((7.658934478049622 45.08313155635305, 7.665294851220424 45.08313155635305, 7.665294851220424 45.07863495453442, 7.658934478049622 45.07863495453442, 7.658934478049622 45.08313155635305))",516
"POLYGON ((7.646213731708019 45.06064854725993, 7.652574104878821 45.06064854725993, 7.652574104878821 45.05615194544131, 7.646213731708019 45.05615194544131, 7.646213731708019 45.06064854725993))",439
"POLYGON ((7.678015597562028 45.06964175089718, 7.684375970732829 45.06964175089718, 7.684375970732829 45.06514514907855, 7.678015597562028 45.06514514907855, 7.678015597562028 45.06964175089718))",642
"POLYGON ((7.684375970732829 45.06064854725993, 7.690736343903631 45.06064854725993, 7.690736343903631 45.05615194544131, 7.684375970732829 45.05615194544131, 7.684375970732829 45.06064854725993))",685
"POLYGON ((7.665294851220424 45.06514514907855, 7.671655224391226 45.06514514907855, 7.671655224391226 45.06064854725993, 7.665294851220424 45.06064854725993, 7.665294851220424 45.06514514907855))",561
"POLYGON ((7.697096717074433 45.06964175089718, 7.703457090245235 45.06964175089718, 7.703457090245235 45.06514514907855, 7.697096717074433 45.06514514907855, 7.697096717074433 45.06964175089718))",765
"POLYGON ((7.665294851220424 45.08313155635305, 7.671655224391226 45.08313155635305, 7.671655224391226 45.07863495453442, 7.665294851220424 45.07863495453442, 7.665294851220424 45.08313155635305))",557
"POLYGON ((7.639853358537217 45.06064854725993, 7.646213731708019 45.06064854725993, 7.646213731708019 45.05615194544131, 7.639853358537217 45.05615194544131, 7.639853358537217 45.06064854725993))",398
"POLYGON ((7.697096717074433 45.0741383527158, 7.703457090245235 45.0741383527158, 7.703457090245235 45.06964175089718, 7.697096717074433 45.06964175089718, 7.697096717074433 45.0741383527158))",764
"POLYGON ((7.671655224391226 45.08313155635305, 7.678015597562028 45.08313155635305, 7.678015597562028 45.07863495453442, 7.671655224391226 45.07863495453442, 7.671655224391226 45.08313155635305))",598
"POLYGON ((7.703457090245235 45.06514514907855, 7.709817463416036 45.06514514907855, 7.709817463416036 45.06064854725993, 7.703457090245235 45.06064854725993, 7.703457090245235 45.06514514907855))",807
"POLYGON ((7.652574104878821 45.0741383527158, 7.658934478049622 45.0741383527158, 7.658934478049622 45.06964175089718, 7.652574104878821 45.06964175089718, 7.652574104878821 45.0741383527158))",477
"POLYGON ((7.652574104878821 45.07863495453442, 7.658934478049622 45.07863495453442, 7.658934478049622 45.0741383527158, 7.652574104878821 45.0741383527158, 7.652574104878821 45.07863495453442))",476
"POLYGON ((7.690736343903631 45.07863495453442, 7.697096717074433 45.07863495453442, 7.697096717074433 45.0741383527158, 7.690736343903631 45.0741383527158, 7.690736343903631 45.07863495453442))",722
"POLYGON ((7.665294851220424 45.03366893634819, 7.671655224391226 45.03366893634819, 7.671655224391226 45.02917233452957, 7.665294851220424 45.02917233452957, 7.665294851220424 45.03366893634819))",568
"POLYGON ((7.665294851220424 45.10561456544616, 7.671655224391226 45.10561456544616, 7.671655224391226 45.10111796362754, 7.665294851220424 45.10111796362754, 7.665294851220424 45.10561456544616))",552
"POLYGON ((7.639853358537217 45.06964175089718, 7.646213731708019 45.06964175089718, 7.646213731708019 45.06514514907855, 7.639853358537217 45.06514514907855, 7.639853358537217 45.06964175089718))",396
